岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
新媒体运营（实习）,3-5K/月,3个月,"1. 参与百万粉丝体量的公众号运营；
2. 根据账号调性风格及用户需求，搜集整理、输出招聘信息；
3. 以大学生学生的视角，从选题、撰稿、传播、数据分析等完整链路输出大学生/求职相关资讯内容；
4. 与其他部门配合，提升品牌知名度；
5. 参与各种线上/线下活动策划与运营，创造有趣有料、受用户喜欢的活动。",本科,2,2025-06-26 17:09,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
策划实习生,3-4K/月,3个月,"1.协助主管进行客户需求及营销活动的策划及方案拟定； 
2.跟踪热点，进行客户行业分析，及时获取新鲜资讯； 
3.协助辖区完成市场信息的收集及优秀案例的解析； 
4.参与公司内部市场活动的策划和执行；
5.策划面向刺猬用户的线上线下活动，并参与落地。",本科,1,2025-06-26 15:06,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
项目实习生（深圳）,3-4K/月,3个月,"1.协助公司项目所需的信息收集&投标准备； 
2.根据市场营销计划，制定工作方案，协助团队完成团队目标； 
3.参与组织区域内的市场活动，负责部分策划和落地执行； 
4.协助解决问题以及及时响应客户需求。",本科,4,2025-06-26 15:06,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
平面设计实习生,3-4K/月,3个月,"1. 负责协助设计完成客户需求，设计包括但不限于海报、延展物料等设计任务。
2、协助完成公司品牌类对外宣传相关设计、以及公司内外活动的设计任务。
3.在导师帮助下，完成公众号、小红书等相关设计任务。",本科,2,2025-06-26 15:06,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
质量实习生,120-130元/天,4个月,"岗位职责
	1、协助完成部门做相关文件工作，客户标准整理，CSCM文件等；
	2、协助样件室，样件制作，产品出货尺寸测量报告；
        3、协助部门简单的2D出图；
	4、协助部门其他日常事务。",本科,1,2025-06-20 10:24,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
研发实习生,120-130元/天,3个月,"1、支持Raise, TMM和其他KPI数据的收集
2、动手能力强，协助工程师进行原型、样品的制作
3、协助部门其他日常事务",本科,1,2025-06-20 10:24,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
销售实习生,120-130元/天,4个月,"1.负责部门日常销售数据的更新维护；
2.整理归纳资料性文档，及时做好跟进
3.其他任务性事宜。",大专,2,2025-06-20 10:23,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
26年毕业大专实习生-蜂巢能源直签,200-300元/天,6个月,负责蜂巢能源的新能源电池车间自动化设备的正常运行、维护、保养、记录数据等工作任务，保证自动化设备正常运行，并对数据整理分析。,大专,111,2025-06-30 17:53,正华中天,51~100人,北京,咨询/法律/人力资源
26年毕业大专实习生-蜂巢能源直签,200-300元/天,6个月,负责蜂巢能源的新能源电池车间自动化设备的正常运行、维护、保养、记录数据等工作任务，保证自动化设备正常运行，并对数据整理分析。,大专,111,2025-06-30 17:55,正华中天,51~100人,北京,咨询/法律/人力资源
26年毕业大专实习生-蜂巢能源直签,200-300元/天,6个月,负责蜂巢能源的新能源电池车间自动化设备的正常运行、维护、保养、记录数据等工作任务，保证自动化设备正常运行，并对数据整理分析。,大专,111,2025-06-30 17:54,正华中天,51~100人,北京,咨询/法律/人力资源
