岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
【base广州】招聘/猎头实习生(转正机会）,120-150元/天,3个月,【工作职责】：,本科,30,2023-04-04 16:45,科锐国际,3001人及以上,北京,咨询/法律/人力资源
大学生管培生,7-14K/月,6个月,【薪酬待遇怎么样呢？收入自主是什么？】,大专,5,2023-04-07 18:15,乐有家控股集团,3001人及以上,广东,建筑|地产|家居
政府信息化咨询助理（实习生，可转正）,120-150元/天,6个月,1. 协助咨询顾问为政府相关委办局提供政府信息化相关的全过程咨询服务，包括政府信息化项目的前期咨询、深化设计、监理服务等工作，解决政府相关委办局客户信息化建设中相关专业领域的整体架构、建设方案、过程管理、合法合规等各类管理问题。,本科,3,2023-04-07 16:14,邮研院,1001~3000人,上海,IT|通信|电子
市场实习生,189-190元/天,长期,RESPONSIBILITIES,本科,1,2023-04-10 16:04,达伯埃,51~100人,上海,快速消费品
社群运营实习生,120-180元/天,3个月,1、根据业务发展方向，管理社群运营，挖掘社群用户需求点，通过活动、互动等提高社群粘性 ,大专,2,2023-04-04 09:35,货拉拉,3001人及以上,广东,互联网|游戏|软件
量化投资实习生,100-150元/天,3个月,1、开发投资策略所使用的量化因子；,硕士,2,2023-04-04 13:20,湘财证券,3001人及以上,上海,金融
活动运营实习生,100-150元/天,3个月,1、负责高校活动的跟进，输出活动方案及宣传物料，跟踪、把控活动整体流程并对拉新目标进行管理（主要内容为简历大赛，及高校活动的赞助等）,本科,1,2023-04-04 17:16,丁香园,1001~3000人,浙江,互联网|游戏|软件
活动运营实习生,100-150元/天,3个月,1、负责高校活动的跟进，输出活动方案及宣传物料，跟踪、把控活动整体流程并对拉新目标进行管理（主要内容为简历大赛，及高校活动的赞助等）,本科,1,2023-04-04 17:16,丁香园,1001~3000人,浙江,互联网|游戏|软件
用户运营实习生,120-150元/天,3个月,1、参与用户运营策略制定及实施，实现用户增长、转化和老用户留存； ,本科,3,2023-04-07 15:28,网易有道,3001人及以上,北京,互联网|游戏|软件
猎头/招聘实习生（本岗位需广州线下实习）,120-150元/天,3个月,【猎头/招聘实习生（需广州线下实习）】 ,本科,5,2023-04-07 17:42,科锐国际,3001人及以上,北京,咨询/法律/人力资源
招聘/猎头实习生（远程线上实习，全国可投）,120-150元/天,3个月,【招聘实习生（远程线上实习）】 ,本科,5,2023-04-07 17:42,科锐国际,3001人及以上,北京,咨询/法律/人力资源
新媒体运营实习生,150-180元/天,3个月,岗位职责：,本科,1,2023-04-07 13:34,叽里呱啦,301~1000人,上海,互联网|游戏|软件
用户运营实习生（丁香园APP）,100-150元/天,3个月,1.负责整理丁香园APP内的优质内容，在各渠道对内容进行分发，提升APP活跃。,本科,1,2023-04-10 16:08,丁香园,1001~3000人,浙江,互联网|游戏|软件
行政实习生,100-150元/天,3个月,1、行政类费用管理：统筹公司各中心、部门行政类统筹专控费用（通讯、车补、交际、差旅等）管理，规范费用标准，有效控制公司的成本费用；,本科,1,2023-04-10 13:36,华润三九,3001人及以上,广东,生物|医药
猎头/招聘实习生（本岗位需深圳线下实习）,120-200元/天,3个月,【猎头/招聘实习生（需深圳线下实习）】 ,本科,5,2023-04-07 17:42,科锐国际,3001人及以上,北京,咨询/法律/人力资源
猎头/招聘实习生（本岗位需广州线下实习）,120-150元/天,3个月,【猎头/招聘实习生（需广州线下实习）】 ,本科,5,2023-04-07 17:42,科锐国际,3001人及以上,北京,咨询/法律/人力资源
资料录入文员,150-200元/天,3个月,1、整理法院内部案件纸质材料，并做好扫描、整理、登记，与案件管理人员核对案件整理无误,大专,4,2023-04-10 09:45,北明软件,1001~3000人,广东,IT|通信|电子
