岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
VIP特邀买家实习生,160-180元/天,4个月,(一）,大专,10,2023-04-07 09:05,cioe中国光博会,51~100人,广东,政府/非盈利机构/其他
Analyst Intern,100-120元/天,3个月,• Copy editing on both Chinese and English,本科,1,2023-04-07 10:36,RTG,51~100人,上海,广告|传媒|文化|体育
猎头顾问助理实习生(深圳),80-150元/天,3个月,1）协助资深猎头顾问整理和收集目标行业的信息，分析客户需求；,本科,5,2023-04-06 09:34,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
投标助手,120-180元/天,3个月,岗位职责:,本科,1,2023-04-07 13:37,普仕英才,51~100人,北京,咨询/法律/人力资源
校园主理人（出国考试语言培训）,面议,3个月,1-开发留学语言培训学生，可以是在校内线下推广也可以通过小红书等新媒体平台运营。,本科,30,2023-04-10 13:30,海亮国际教育,101~300人,浙江,教育培训
人力资源咨询项目助理,100-150元/天,2个月,1.线上参与配合人力资源类项目的调研分析与方案配套材料梳理设计； ,本科,30,2023-04-04 10:48,驱动咨询,51~100人,上海,咨询/法律/人力资源
猎头顾问助理实习生,80-150元/天,3个月,1）协助资深猎头顾问整理和收集目标行业的信息，分析客户需求；,本科,5,2023-04-06 09:34,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
猎头助理实习生,100-120元/天,长期,在项目经理的培训指导下，以电话沟通为主进行人才的初期寻访；,不限,3,2023-04-09 10:10,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
PRIntern,100-150元/天,3个月,1、Sample management,本科,1,2023-04-07 10:36,RTG,51~100人,上海,广告|传媒|文化|体育
人力资源实习生,100-120元/天,3个月,1、根据项目要求，对公司系统数据库进行分类、整理、录入；,本科,1,2023-04-07 09:45,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
猎头顾问实习生,100-200元/天,3个月,1.协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求。,本科,30,2023-04-10 10:01,科锐国际,101~300人,吉林,咨询/法律/人力资源
行政/文员,100-120元/天,3个月,1.负责公司接待访客，并及时准确通知被访人员；,大专,2,2023-04-10 10:50,普仕英才,51~100人,北京,咨询/法律/人力资源
猎头顾问助理实习生（武汉）,80-120元/天,3个月,1.协助资深顾问整理和收集目标行业的信息，根据客户所在行业，客户需求以及目标职位的分析，拟定候选人寻访方案；,本科,2,2023-04-10 09:45,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
职称专员,100-120元/天,长期,1、负责提供各种类别职称评定政策解读、职称规划、职称申报等全流程服务工作；,大专,2,2023-04-10 10:34,科沃园集团,51~100人,广东,咨询/法律/人力资源
财务实习生,100-120元/天,3个月,1、协助会计处理日常的工作事项,大专,2,2023-04-06 09:34,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
猎头实习生（“迈芽生”）,120-150元/天,长期,"1、深入了解行业,客户,职位信息,制定搜索方向以及目标；",本科,3,2023-04-10 10:53,迈睿咨询,11~50人,广东,咨询/法律/人力资源
TalentResearcher,5-10K/月,长期,1、负责海外中高端职位人才猎寻项目的搜索、筛选、沟通评估、协调、推动，解决客户的人才需求；,本科,10,2023-04-10 09:52,海搜科技,101~300人,湖北,咨询/法律/人力资源
助理咨询师,160-200元/天,3个月,1、 协助咨询顾问参与公司的咨询研究项目，搜集资料，报告撰写；,本科,5,2023-04-10 17:36,君百略咨询,51~100人,北京,咨询/法律/人力资源
新媒体运营实习生,150-180元/天,3个月,1、参与公司产品、内容、品牌形象的线上推广宣传工作，通过各类渠道及分享机制的建立，提升资讯流量;,本科,1,2023-04-10 17:36,君百略咨询,51~100人,北京,咨询/法律/人力资源
薪酬管理实习生（广州）,80-100元/天,3个月,1、协助完成员工信息维护、档案整理等工作,本科,1,2023-04-10 09:44,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
（留学生）小红书兼职运营,200-300元/天,3个月,1.根据上级安排产出小红书平台相关选题内容;,本科,4,2023-04-10 11:02,有录网,301~1000人,北京,教育培训
活动实习生,150-200元/天,6个月,1. 能够对活动进行策划、执行、评估与监测、善用平台玩法，整合各种活动资源,本科,1,2023-04-10 14:17,BT教育,101~300人,广东,互联网|游戏|软件
人力资源咨询项目助理,100-150元/天,2个月,1.线上参与配合人力资源类项目的调研分析与方案配套材料梳理设计； ,本科,30,2023-04-04 10:48,驱动咨询,51~100人,上海,咨询/法律/人力资源
猎头顾问助理实习生,80-150元/天,3个月,1）协助资深猎头顾问整理和收集目标行业的信息，分析客户需求；,本科,5,2023-04-06 09:34,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
短视频达人 新媒体运营实习生 北京,150-200元/天,3个月,岗位职责,本科,5,2023-03-29 13:35,中科美伦数字技术股份公司,11~50人,北京,生物|医药
执行制片,10-20元/天,3个月,1.活动项目内容和细节的沟通，促进项目落实和推进；,本科,1,2023-04-03 16:16,芒果音乐,11~50人,上海,广告|传媒|文化|体育
执行导演,10-20元/天,3个月,1.负责项目方案创意策划、方案撰写、方案提案及推进方案落地实施；,本科,2,2023-04-03 16:07,芒果音乐,11~50人,上海,广告|传媒|文化|体育
艺人接待,10-20元/天,3个月,1.负责活动期间演出人员的行程规划统筹，协助管理好演出人员的行程安排；,不限,2,2023-04-03 15:18,芒果音乐,11~50人,上海,广告|传媒|文化|体育
培训实习生,150-200元/天,3个月,职责描述：,本科,1,2023-03-28 15:15,手回集团,301~1000人,广东,互联网|游戏|软件
市场运营实习生,150-200元/天,3个月,职责描述：,本科,1,2023-03-28 15:04,手回集团,301~1000人,广东,互联网|游戏|软件
洞察研究员实习生,面议,3个月,"青年志是一家专注青年文化研究与市场营销咨询机构，分为媒体内容业务和研究咨询业务。其中，研究咨询业务以「年轻人驱动商业创新」为使命与愿景，聚焦于16-40岁的年轻消费群体，为国内外的品牌、平台和资本提供趋势、洞察和策略服务。2008年成立至今，青年志以创新前瞻的趋势发现视角+深入系统扎实的人群洞察+策略性的商业分析与产出为业界所著称, 致力以文化洞察驱动商业创新咨询，帮助品牌融入年轻人的世界，与年轻人共创可感、可见、可期的美好未来。",本科,2,2023-03-23 11:08,青年志,51~100人,北京,广告|传媒|文化|体育
英文行政助理（服务于BC教育）,5-6元/天,长期,1、按照考量调整计划的指示，同时结合考试报名趋势来制定考位开放数量调整的方案。,本科,1,2023-04-03 10:43,华好日用品,101~300人,广东,快速消费品
招聘顾问实习生（Internship）,120-140元/天,3个月,1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案,本科,10,2023-04-03 10:19,普仕英才,51~100人,北京,咨询/法律/人力资源
Beijing Application Chemist Intern,200-400元/天,3个月,应用工程师的日常工作内容包含但不限于售前客户交流、客户样品测试及分析，现场及远程销售支持，参与策划并支援市场活动，参与全球新应用开发项目等。,本科,1,2023-03-24 11:28,Waters,3001人及以上,上海,生物|医药
创意视觉设计师实习生,150-180元/天,6个月,1、 协助同事完成小米平台全场景智能营销的创意视觉设计，包括电视OTT、AIOT等。为品牌主在小米生态平台上投放广告前制定创意解决方案。,本科,1,2023-03-22 16:39,小米科技,3001人及以上,上海,互联网|游戏|软件
行业研究员实习生,50-80元/天,3个月,1. 通过行业、公司及财务等基本面分析，研究上市公司的价值，撰写投资报告。,本科,1,2023-03-28 14:01,大谦资管,10人以内,北京,金融
部门助理,120-150元/天,长期,1.制作、管理数据报表；,本科,1,2023-03-28 13:56,FAFULI,101~300人,上海,咨询/法律/人力资源
信息审核实习生,140-160元/天,3个月,网络信息安全是当前热门岗位之一，你将获得网络信息安全的第一手信息，走在政策前线，跟上时代步伐。,大专,1,2023-03-22 09:52,凡科,301~1000人,广东,互联网|游戏|软件
小红书运营实习生,150-200元/天,3个月,职责描述：,本科,1,2023-03-27 10:29,手回集团,301~1000人,广东,互联网|游戏|软件
蔚来产品专家,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-17 16:51,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来产品专家,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-17 16:51,NIO蔚来,3001人及以上,上海,汽车|机械|制造
交付实习生,100-150元/天,6个月,1.负责交付现场秩序维护以及物料准备,大专,1,2023-03-17 16:50,NIO蔚来,3001人及以上,上海,汽车|机械|制造
服务代表实习生,100-150元/天,4个月,根据蔚来汽车服务流程负责车辆接待及交车工作并确保交车车辆完成所有服务诉求项目,大专,2,2023-03-17 16:49,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理（永康）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-17 16:49,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来产品专家,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-17 16:49,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-17 16:49,NIO蔚来,3001人及以上,上海,汽车|机械|制造
APP内容运营实习生,1-2K/月,3个月,1）负责新周刊APP原创选题的策划和撰写。,本科,2,2023-03-31 09:30,新周刊,51~100人,广东,广告|传媒|文化|体育
校园推广（CA）,面议,长期,1.配合公司整体的市场宣传，通过线上及线下活动宣传公司品牌；,本科,10,2023-04-04 11:49,纪堂教育,11~50人,江苏,教育培训
法务助理实习生/Paralegal Internship,154-176元/天,6个月,"• This is an exciting internship opportunity for those who are seeking for practical working experience and fully involving in team cooperation in large multinational companies. You will closely support the work of Legal Manager in China, as well as APAC Legal Head.",本科,2,2023-03-17 14:18,隶属世界500强达飞集团,1001~3000人,北京,交通|物流|贸易
HR Intern 人事实习生,120-180元/天,3个月,Primary Responsibilities:,本科,1,2023-03-17 11:25,SABIC,3001人及以上,上海,能源|环保
供应链customer service,120-140元/天,3个月,1. Order Fulfillment:,本科,1,2023-03-17 11:25,SABIC,3001人及以上,上海,能源|环保
客户邀约实习生,140-150元/天,3个月,1.  根据公司提供的客户资源，对目标客户群体进行电话沟通；,不限,4,2023-03-27 18:03,FAFULI,101~300人,上海,咨询/法律/人力资源
初级IT咨询顾问（日语）,150-200元/天,长期,能够在埃森哲技术实习生项目获得什么？,本科,100,2023-03-17 10:55,埃森哲,3001人及以上,上海,咨询/法律/人力资源
酒店助理,2-4K/月,长期,1.每天早上9点、下午3点、晚上9点完成全部客房的除湿机倒水工作，并检查客房状况；,不限,10,2023-03-20 19:15,康藤旅游,101~300人,云南,政府/非盈利机构/其他
