岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,上海市,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,江西省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,江西省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,江苏省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,江苏省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,陕西省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,陕西省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,北京市,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,北京市,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,山东省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,山东省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,湖北省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,湖北省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,浙江省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,浙江省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,吉林省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,吉林省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,云南省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,云南省,生物|医药,2023-04-10,2023
