岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
HR实习生-招聘,175.0,4个月,"['了解', '业务', '需求', '招聘', '渠道', '寻访', '识别', '匹配', '人选', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '协助', '招聘', '对接', '面试官', '候选人', '安排', '接待', '面试', '全程', '跟进', '面试', '流程']",本科,2,2023-04-06 19:56:00,快手,3001人及以上,北京市,互联网|游戏|软件,2023-04-06,2023
设计师实习生,190.0,3个月,"['上市', '凡科', '企业', '用户', '提供', '多元', '高效', '易用', '互联网', '工具', '帮助', '越来越', '企业', '有效', '降低', '运营', '成本', '凡科', '规模', '扩大', '期待', '新鲜血液', '加入']",大专,1,2023-04-07 09:32:00,凡科,301~1000人,广东省,互联网|游戏|软件,2023-04-07,2023
研究咨询实习生,170.0,3个月,"['辅助', '负责人', '做', '前沿', '趋势', '研究', '结合', '经济', '政策', '趋势', '热点', '行业', '洞察', '发现', '商业机会', '探索', '企业', '第二', '增长', '需求']",本科,5,2023-04-04 10:32:00,创业大街,51~100人,北京市,咨询/法律/人力资源,2023-04-04,2023
行业研究实习生,170.0,3个月,"['先进', '制造', '生物医药', '快速', '消费品', '相关', '细分', '领域', '数字化', '智能化', '研究', '产业链', '赋能', '研究']",本科,10,2023-04-04 10:32:00,创业大街,51~100人,北京市,咨询/法律/人力资源,2023-04-04,2023
市场调研实习生,125.0,3个月,"['\xa0', '参观', '各类', '贸易', '性', '展会', '\xa0']",本科,1,2023-04-10 10:21:00,光亚法兰克福,11~50人,广东省,广告|传媒|文化|体育,2023-04-10,2023
数据跟踪实习生,170.0,3个月,"['承担', '企业', '行业', '资料', '查找', '收集', '政策', '跟踪', '工作', '筛选', '信息', '提炼', '汇总', '能力']",本科,10,2023-04-04 10:33:00,创业大街,51~100人,北京市,咨询/法律/人力资源,2023-04-04,2023
HR实习生,175.0,4个月,"['了解', '业务', '需求', '招聘', '渠道', '寻访', '识别', '匹配', '人选', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '协助', '招聘', '对接', '面试官', '候选人', '安排', '接待', '面试', '全程', '跟进', '面试', '流程']",本科,2,2023-04-06 19:56:00,快手,3001人及以上,北京市,互联网|游戏|软件,2023-04-06,2023
活动执行助理,170.0,3个月,"['协助', '策划', '开展', '各类', '活动', '执行', '细化', '工作', '流程', '有序', '推进', '工作', '安排']",本科,2,2023-04-04 10:32:00,创业大街,51~100人,北京市,咨询/法律/人力资源,2023-04-04,2023
法务实习生,60.0,3个月,"['职位', '描述']",本科,2,2023-04-07 09:59:00,人民网,1001~3000人,北京市,互联网|游戏|软件,2023-04-07,2023
电话回访实习生,150.0,3个月,"['上市', '凡科', '企业', '用户', '\xa0', '提供', '多元', '高效', '易用', '互联网', '工具', '帮助', '越来越', '企业', '有效', '降低', '运营', '成本', '凡科', '规模', '扩大', '期待', '新鲜血液', '加入']",大专,2,2023-04-07 09:32:00,凡科,301~1000人,广东省,互联网|游戏|软件,2023-04-07,2023
展会邀约实习生,135.0,3个月,"['负责', '联络', '行业', '机构', '跨界', '协会', '邀请', '进行', '买家', '组团', '合作', '招募', '专业', '观众', '团体']",大专,3,2023-04-10 14:08:00,光亚法兰克福,11~50人,广东省,广告|传媒|文化|体育,2023-04-10,2023
蔚来顾问助理,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-30 10:31:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-30,2023
交付实习生,125.0,6个月,"['负责', '交付', '现场', '秩序', '维护', '物料', '准备']",大专,1,2023-03-30 10:31:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-30,2023
人力资源实习生,165.0,3个月,"['晶科', '科技', '601778', 'SH', '总部', '招聘', '人力资源', '实习生', '\xa0', '名']",本科,2,2023-03-30 09:57:00,晶科科技,1001~3000人,上海市,能源|环保,2023-03-30,2023
广东永旺超市门店短期/长期兼职,155.0,长期,"['广东', '永旺', '超市', '门店', '短期', '兼职']",不限,50,2023-04-03 16:37:00,善世服务,101~300人,广东省,咨询/法律/人力资源,2023-04-03,2023
人力资源管理实习生,135.0,3个月,"['\xa0', '协助', '完成', '培训', '人才', '发展', '落地', '工作', '培训', '项目', '物料', '准备', '活动', '安排', '相关', '图文', '制作', '工作']",本科,1,2023-03-30 09:21:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-03-30,2023
展会地推,125.0,2个月,"['前往', '健身', '工作室', '健身房', '介绍', '展会', '信息', '邀约', '参会']",不限,2,2023-04-03 15:36:00,善世服务,101~300人,广东省,咨询/法律/人力资源,2023-04-03,2023
会展实习生,83.33,3个月,"['协助', '买家', '邀约', '工作', '组团', '电话', '邀请', '完成', '买家', '邀请', '目标']",本科,3,2023-04-03 15:22:00,善世服务,101~300人,广东省,咨询/法律/人力资源,2023-04-03,2023
会展实习生,83.33,3个月,"['买家', '电话', '邀约', '负责', '家居', '礼品', '展', '海外', '买家', '电话', '邮件', '邀请']",本科,2,2023-04-03 15:16:00,善世服务,101~300人,广东省,咨询/法律/人力资源,2023-04-03,2023
订单跟进助理实习生,175.0,3个月,"['对接', '采购', '人员', '确认', '订单', '预计', '交付', '日期', '反馈', '销售', '人员']",本科,1,2023-03-29 15:56:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-03-29,2023
市场营销策划,135.0,3个月,"['协助', '团队', '策划', '组织', '各类', '研究', '项目', '赛事', '项目']",本科,1,2023-03-29 15:15:00,东方财富,3001人及以上,上海市,互联网|游戏|软件,2023-03-29,2023
市场运营实习生,100.0,3个月,"['工作', '职责']",本科,20,2023-03-30 10:38:00,高顿教育集团,1001~3000人,上海市,教育培训,2023-03-30,2023
文案策划实习生,100.0,3个月,"['工作', '职责']",本科,20,2023-03-30 10:38:00,高顿教育集团,1001~3000人,上海市,教育培训,2023-03-30,2023
用户增长运营实习生,100.0,3个月,"['工作', '职责']",本科,20,2023-03-30 10:38:00,高顿教育集团,1001~3000人,上海市,教育培训,2023-03-30,2023
战略客户总部实习生,135.0,3个月,"['工作', '内容']",本科,2,2023-03-29 11:13:00,云南信托,101~300人,上海市,金融,2023-03-29,2023
总裁办实习,140.0,3个月,"['参与', '公司', '流程', '管理', '跟进', '\xa0']",大专,1,2023-03-29 11:12:00,微创神通,301~1000人,上海市,生物|医药,2023-03-29,2023
人力资源实习生,165.0,3个月,"['了解', '公司', '招聘', '流程', '制度', '协助', '招聘', '团队', '进行', '简历', '筛选', '面试', '约访', '人才', '档案管理', '更新']",本科,1,2023-03-29 10:45:00,晶科电力,1001~3000人,上海市,能源|环保,2023-03-29,2023
广东永旺总部人力资源实习生,175.0,3个月,"['岗位', '描述']",大专,1,2023-03-29 09:57:00,广东永旺,3001人及以上,广东省,交通|物流|贸易,2023-03-29,2023
短视频编导实习生,110.0,3个月,"['负责', '公司', '抖音', '快手', '视频', '账号', '运营', '选题', '策划', '脚本', '创作', '视频', '发布', '拍', '剪', '工作']",本科,2,2023-03-29 09:55:00,中南博集天卷,101~300人,北京市,广告|传媒|文化|体育,2023-03-29,2023
控价实习生,110.0,6个月,"['协助', '负责', '公司', '畅销', '书籍', '售价', '管控', '工作', '能够', '书籍', '渠道商', '情况', '快速', '梳理', '复杂', '情况', '完成', '售价', '管控', '工作']",本科,3,2023-03-29 09:55:00,中南博集天卷,101~300人,北京市,广告|传媒|文化|体育,2023-03-29,2023
财务实习生,135.0,5个月,"['Ensure', '\xa0', 'timely', '\xa0', 'and', '\xa0', 'accurate', '\xa0', 'monthly', '\xa0', 'close', '\xa0', 'reporting', '\xa0', 'for', '\xa0', 'the', '\xa0', 'China', '\xa0', 'entity', '\xa0', 'to', '\xa0', 'meet', '\xa0', 'FP', '\xa0', 'reporting', '\xa0', 'timelines']",本科,1,2023-04-10 15:43:00,铁狮门,101~300人,上海市,建筑|地产|家居,2023-04-10,2023
金融工程编辑实习生,150.0,3个月,"['整理', '笔记', '核对', '答案', '解析']",硕士,100,2023-04-10 09:00:00,圣才电子书,101~300人,湖北省,互联网|游戏|软件,2023-04-10,2023
内容审核实习生,110.0,3个月,"['职位', '描述']",不限,15,2023-04-04 08:48:00,一览科技,101~300人,北京市,互联网|游戏|软件,2023-04-04,2023
内容运营实习生,110.0,3个月,['岗位职责'],不限,15,2023-04-04 08:46:00,一览科技,101~300人,北京市,互联网|游戏|软件,2023-04-04,2023
金融学编辑实习生,150.0,3个月,"['金融学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-10 09:00:00,圣才电子书,101~300人,湖北省,互联网|游戏|软件,2023-04-10,2023
统计学编辑实习生,150.0,3个月,"['统计学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-10 09:00:00,圣才电子书,101~300人,湖北省,互联网|游戏|软件,2023-04-10,2023
风险管理岗,102.5,3个月,"['协助', '投资', '组合', '风险', '管理工作', '投资', '组合', '市场', '风险', '流动性', '风险', '信用风险', '进行', '识别', '评估', '监控']",硕士,1,2023-03-28 17:54:00,东海基金,51~100人,上海市,金融,2023-03-28,2023
国际商务实习生,105.0,长期,"['协助', '部门', '进行', '签证', '相关', '事务']",大专,1,2023-03-29 13:39:00,Fesco广东,301~1000人,广东省,咨询/法律/人力资源,2023-03-29,2023
短视频编导实习生,125.0,6个月,"['务必', '附上', '视频', '作品', '链接', '在线', '链接', '优于', '网盘', '方便', '审阅']",本科,1,2023-03-28 16:53:00,领英中国,101~300人,北京市,互联网|游戏|软件,2023-03-28,2023
新媒体运营实习生,100.0,3个月,"['拥有', '200', '粉丝', '职场', '第一', '大号', 'LinkedIn', '选题', '策划', '文章', '排版', '头条', '文章', '撰写', '编译']",本科,1,2023-03-28 16:52:00,领英中国,101~300人,北京市,互联网|游戏|软件,2023-03-28,2023
美术实习生,99.5,3个月,"['部门', '负责人', '领导', '团队', '协调', '配合', '参与', '创意', '设计', '工作', '\xa0']",本科,1,2023-03-28 14:02:00,dentsu,1001~3000人,北京市,广告|传媒|文化|体育,2023-03-28,2023
"Omni-channel Intern, Sales",110.0,6个月,"['Primary', '\xa0', 'Duties']",本科,2,2023-03-28 10:15:00,柯锐世,1001~3000人,上海市,汽车|机械|制造,2023-03-28,2023
招聘实习生,135.0,2个月,"['职位', '需求', '协助', '开发', '拓展', '有效', '招聘', '渠道', '多角度', '多渠道', '寻找', '候选人', '协助', '进行', '面试', '流程']",本科,2,2023-04-10 10:03:00,仲望咨询,101~300人,上海市,咨询/法律/人力资源,2023-04-10,2023
猎头管培生,135.0,3个月,"['协助', '顾问', '调查', '研究', '相关', '行业', '市场', '客户', '信息', '学习', '相关', '行业', '知识']",本科,2,2023-04-10 10:03:00,仲望咨询,101~300人,上海市,咨询/法律/人力资源,2023-04-10,2023
销售实习生,135.0,3个月,"['了解', '教育', 'X', '行业', '市场动态', '协助', '团队', '制定', '客户', '市场策略', '销售', '计划']",本科,3,2023-03-27 21:05:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-27,2023
TB实习生,160.0,4个月,"['配合', '销售', '做', '销售', '拓展', '挖掘', '客户', '需求']",本科,5,2023-03-27 21:04:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-27,2023
市场营销实习生,83.33,6个月,"['年度计划', '协调', '组织', '事业部', '参加', '行业', '展会']",本科,1,2023-03-27 17:37:00,中海达,1001~3000人,广东省,IT|通信|电子,2023-03-27,2023
Customer Screening Intern,165.0,6个月,"['职位', '机会']",本科,1,2023-03-27 16:38:00,飞利浦,3001人及以上,上海市,生物|医药,2023-03-27,2023
GBS HS OA Intern,165.0,6个月,['岗位职责'],本科,1,2023-03-27 16:32:00,飞利浦,3001人及以上,上海市,生物|医药,2023-03-27,2023
上市公司 · 猎头实习生线下,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,10,2023-03-27 16:17:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-27,2023
上市公司 · 猎头实习生线下,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,10,2023-03-27 16:16:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-27,2023
上市公司 · 猎头实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,10,2023-03-27 15:43:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-27,2023
世界500强 核保部实习生,125.0,6个月,"['核保', '产品部', '实习生']",本科,1,2023-04-10 13:16:00,安世联合,1001~3000人,北京市,金融,2023-04-10,2023
官网运营实习生,140.0,3个月,"['\xa0', '使用', 'Adobe', '系统对', '网站', '内容', '进行', '基础', '运维']",不限,2,2023-04-06 13:51:00,杰尔广告,1001~3000人,北京市,广告|传媒|文化|体育,2023-04-06,2023
罗德与施瓦茨公司6G无线通信研究员实习生招聘,166.67,6个月,"['罗德', '施瓦茨', '公司', '6G', '无线通信', '研究员', '实习生', '招聘']",硕士,1,2023-04-04 17:30:00,中智职业发展有限公司,301~1000人,北京市,咨询/法律/人力资源,2023-04-04,2023
设计实习生,140.0,3个月,"['Art', '相关', '工作', '参与', '创意', '发想']",本科,1,2023-04-10 09:35:00,杰尔广告,1001~3000人,北京市,广告|传媒|文化|体育,2023-04-10,2023
实习生-销售团队,125.0,3个月,"['上海', '分公司', '职位']",本科,1,2023-04-10 10:32:00,安世联合,1001~3000人,北京市,金融,2023-04-10,2023
中盈保险资料审核实习生,145.0,2个月,"['中盈', '简介']",大专,2,2023-04-07 16:30:00,中智职业发展有限公司,301~1000人,北京市,咨询/法律/人力资源,2023-04-07,2023
投资实习生,105.0,3个月,"['\xa0', '协助', '投资', '经理', '开展', '市场', '行业', '研究', '参与', '独立', '负责', '行业', '信息', '梳理', '市场', '数据', '整理', '专家', '访谈', '行业', '报告', '撰写', '工作']",本科,1,2023-04-10 17:18:00,华侨银行股权投资部门,11~50人,上海市,金融,2023-04-10,2023
软件测试实习生,150.0,6个月,"['负责', 'bip', '产品', '接口', '工作', '产品', '业务', '测试']",本科,1,2023-04-07 14:49:00,用友网络,3001人及以上,北京市,互联网|游戏|软件,2023-04-07,2023
罗德与施瓦茨公司通信人工智能研究员实习生招聘,166.67,6个月,"['罗德', '施瓦茨', '公司', '通信', '人工智能', '研究员', '实习生', '招聘']",硕士,1,2023-04-04 17:30:00,中智职业发展有限公司,301~1000人,北京市,咨询/法律/人力资源,2023-04-04,2023
保险运营实习生,125.0,6个月,"['\xa0', '\xa0', '\xa0', 'Assist', '\xa0', 'to', '\xa0', 'handle', '\xa0', 'policy', '\xa0', 'admin', '\xa0', 'including', '\xa0', 'issue', '\xa0', 'policy', '\xa0', 'policy', '\xa0', 'cancellation']",本科,4,2023-04-03 11:19:00,安世联合,1001~3000人,北京市,金融,2023-04-03,2023
HR Intern,125.0,6个月,"['世界', '500', '强', '外企', '\xa0', '人力资源部', '实习生']",本科,1,2023-04-03 11:19:00,安世联合,1001~3000人,北京市,金融,2023-04-03,2023
新媒体运营实习生,150.0,3个月,"['媒体', '平台', '日常', '管理', '运营', '完成', '内容', '策划', '传播', '完善', '媒体', '矩阵', '\xa0']",本科,1,2023-03-25 12:55:00,用友股份,3001人及以上,北京市,IT|通信|电子,2023-03-25,2023
设计实习生,150.0,3个月,"['结合', '产品', '宣传', '设计', '各类', '海报', 'PPT', '视频']",本科,1,2023-03-25 12:55:00,用友股份,3001人及以上,北京市,IT|通信|电子,2023-03-25,2023
人力资源实习生,100.0,3个月,"['拓展', '招聘', '渠道', '发布', '职位', '更新', '招聘', '信息', '\xa0']",本科,1,2023-03-29 16:06:00,金蝶账无忧,101~300人,广东省,互联网|游戏|软件,2023-03-29,2023
监理实习生-青岛,86.5,6个月,"['负责', '现场', '监理', '项目管理', '工作']",大专,10,2023-04-06 16:00:00,同济咨询,301~1000人,上海市,咨询/法律/人力资源,2023-04-06,2023
项目实习生,150.0,3个月,"['协助', '公司', '项目', '信息', '收集', '投标', '准备', '\xa0']",本科,2,2023-04-10 17:47:00,刺猬 CIWEI,51~100人,广东省,互联网|游戏|软件,2023-04-10,2023
广告运营实习生,175.0,3个月,"['职责', '描述']",本科,1,2023-04-07 11:22:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-04-07,2023
年报审计实习生,110.0,2个月,"['工作', '内容', '年报', '审计']",本科,3,2023-04-10 09:56:00,国富所,301~1000人,北京市,咨询/法律/人力资源,2023-04-10,2023
内勤实习生,125.0,3个月,"['职责', '描述']",本科,1,2023-04-07 11:28:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-04-07,2023
拍摄剪辑实习生,140.0,2个月,"['要求', '独立', '完成', '抖', '音视频', '拍摄', '制作', '剪辑', '特效']",大专,5,2023-04-04 15:18:00,凯儿得乐,101~300人,广东省,快速消费品,2023-04-04,2023
新媒体运营,116.67,3个月,"['进行', '内容', '创作', '编辑', '媒体', '矩阵', '定位', '发布', '运营', '相关', '内容', '定期', '进行', '渠道', '研究', '用户', '分析']",本科,4,2023-04-06 10:43:00,刺猬 CIWEI,51~100人,广东省,互联网|游戏|软件,2023-04-06,2023
小红书运营实习生,116.67,3个月,"['负责', '小红书', '内容', '运营', '制作', '具有', '传播', '视频', '图文', '内容', '发布', '更新', '回复', '互动', '\xa0']",本科,2,2023-04-06 10:43:00,刺猬 CIWEI,51~100人,广东省,互联网|游戏|软件,2023-04-06,2023
人力实习生,160.0,3个月,"['筛选', '简历', '安排', '面试', '面试', '接待']",本科,1,2023-04-10 11:25:00,兔展,301~1000人,广东省,互联网|游戏|软件,2023-04-10,2023
售后助理实习,175.0,3个月,"['话费', '补贴', '300', '实报实销', '本科', '150', '硕士', '学历', '200']",本科,1,2023-03-29 13:23:00,上海中智,3001人及以上,上海市,咨询/法律/人力资源,2023-03-29,2023
项目执行合伙人,113.0,长期,"['合理安排', '校园', '招聘', '项目前期', '宣传', '任务', '进行', '监控', '跟进', '处理']",本科,6,2023-03-29 11:47:00,前程无忧,1001~3000人,广东省,互联网|游戏|软件,2023-03-29,2023
人力资源实习生,125.0,3个月,"['\xa0', '负责', 'IT', '行业', '相关', '职位', '招聘']",本科,5,2023-03-29 11:47:00,万宝盛华,101~300人,广东省,互联网|游戏|软件,2023-03-29,2023
项目执行合伙人,113.0,长期,"['负责', '校园', '招聘', '项目', '校园内', '推广', '工作', '跟进', '包括', '限于', '线下', '物料', '宣传', '网络', '推广', '校园', '大使', '执行', '情况', '跟进']",本科,6,2023-03-29 11:43:00,前程无忧,1001~3000人,广东省,互联网|游戏|软件,2023-03-29,2023
市场渠道合伙人,113.0,长期,"['学生', '团队', '管理', '团队', '人员', '招募', '培训', '运营', '维护', '高校', 'kol', '媒体', '渠道', '开发', '小红书', '抖音', '视频', '号']",本科,6,2023-03-29 11:38:00,前程无忧,1001~3000人,广东省,互联网|游戏|软件,2023-03-29,2023
校园渠道合伙人,113.0,长期,"['日常', '校园', '渠道', '任务', '领取', '执行']",本科,6,2023-03-29 11:33:00,前程无忧,1001~3000人,广东省,互联网|游戏|软件,2023-03-29,2023
校园执行合伙人,113.0,1个月,"['日常', '宣传', '任务', '领取', '执行']",本科,6,2023-03-29 09:47:00,前程无忧,1001~3000人,广东省,互联网|游戏|软件,2023-03-29,2023
会务助理,190.0,2个月,"['协助', '完成', '展前', '展期', '商务', '板块', '各项', '工作', '包括', '志愿者', '管理', '餐饮', '交通', '大会', '出入口', '管理']",大专,2,2023-03-31 16:49:00,深圳时尚家居设计周,101~300人,广东省,广告|传媒|文化|体育,2023-03-31,2023
广州粤语资源工程师助理,200.0,3个月,"['\xa0', '协助', '工程师', '开展', '人工智能', '语音', '合成', '研发', '工作', '提供', '语音', '语法', '语义', '规则', '总结', '优化']",本科,2,2023-03-24 16:29:00,上海科大讯飞,301~1000人,上海市,互联网|游戏|软件,2023-03-24,2023
薪资实习生,125.0,3个月,"['协助', '处理', '员工', '每月', '薪资', '核算', '完成', '上级', '交办', '工作', '\xa0']",本科,20,2023-03-24 13:36:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-24,2023
销售实习生,165.0,6个月,"['基础', '实习', '一对一', '导师', '暑期', '实习', '转正', '实习']",大专,50,2023-03-31 07:59:00,科锐国际,3001人及以上,上海市,咨询/法律/人力资源,2023-03-31,2023
财务实习生,155.0,3个月,"['支持', '公司', '结算', '系统', '日常', '操作', '管理', '\xa0']",本科,2,2023-04-06 18:52:00,科锐国际,1001~3000人,四川省,咨询/法律/人力资源,2023-04-06,2023
财务实习生,125.0,3个月,"['\xa0', '了解', '财务', '相关', '工作', '内容', '协调', '处理', '银行', '税务', '部门', '工作', '关系']",大专,2,2023-04-07 06:36:00,润普网络,101~300人,广东省,互联网|游戏|软件,2023-04-07,2023
猎头顾问实习生,150.0,3个月,"['\xa0', '协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,3,2023-04-07 08:41:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-07,2023
招聘助理实习生,150.0,2个月,"['\xa0', '协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,3,2023-04-10 14:11:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-10,2023
猎头实习生,175.0,3个月,"['客户', '所在', '行业', '客户', '需求', '目标', '职位', '分析', '拟定', '一套', '完善', '用人', '寻访', '目标', '公司', '候选人', '寻访', '方案']",本科,5,2023-04-10 14:30:00,英特利普,51~100人,广东省,IT|通信|电子,2023-04-10,2023
投资实习生,105.0,3个月,"['协助', '团队', '进行', '物流', '供应链', '相关', '行业', '信息', '搜寻', '整理']",本科,3,2023-04-10 16:27:00,远海物流基金,10人以内,上海市,金融,2023-04-10,2023
前台行政实习生,125.0,3个月,"['负责', '公司', '前台', '接待', '访客', '及时', '准确', '通知', '被访', '人员']",大专,1,2023-04-09 06:42:00,润普网络,101~300人,广东省,互联网|游戏|软件,2023-04-09,2023
CEO助理,135.0,3个月,"['CEO', '日常', '行程', '协调', '安排', '\xa0']",本科,1,2023-04-07 17:28:00,智领国际,11~50人,广东省,咨询/法律/人力资源,2023-04-07,2023
会计实习生,100.0,长期,"['工作', '内容']",大专,30,2023-04-06 10:57:00,顶呱呱集团,3001人及以上,广东省,咨询/法律/人力资源,2023-04-06,2023
人事实习生,150.5,3个月,"['负责', '员工', '入', '离职', '流程', '手续', '办理']",本科,1,2023-04-04 11:52:00,科翼传播,101~300人,上海市,广告|传媒|文化|体育,2023-04-04,2023
研究员,90.0,3个月,"['行业', '研究', '数据', '研究', '量化', '研究', '基金', '研究']",本科,3,2023-04-10 15:23:00,锆石私募,10人以内,浙江省,金融,2023-04-10,2023
猎头顾问实习生,150.0,3个月,"['目标', '职位', '做', '分析', '制定', '目标', '候选人', '寻访', '方案']",本科,20,2023-04-10 09:53:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-10,2023
猎头实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,30,2023-04-10 10:24:00,科锐国际,1001~3000人,陕西省,咨询/法律/人力资源,2023-04-10,2023
HR实习生,150.0,3个月,"['负责', '公司', '业务', '团队', '维护', '拓展', '公司', '招聘', '渠道', '更新', '招聘', '信息']",本科,30,2023-04-10 10:24:00,科锐国际,1001~3000人,陕西省,咨询/法律/人力资源,2023-04-10,2023
猎头顾问实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,30,2023-04-10 09:53:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-10,2023
猎头顾问实习生,150.0,2个月,"['\xa0', '协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,3,2023-04-10 14:12:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-10,2023
微信编辑,100.0,6个月,"['负责', '微信', '头部', '科技', '大号', '文章', '撰写']",大专,2,2023-04-04 15:44:00,锋潮网络,11~50人,广东省,互联网|游戏|软件,2023-04-04,2023
实习媒介执行,105.0,5个月,"['建立', '广告', '排期', '定期', '更新', '完善', '媒介', '信息库', '负责', '项目', '执行', '进度', '维稳']",大专,2,2023-04-04 15:44:00,锋潮网络,11~50人,广东省,互联网|游戏|软件,2023-04-04,2023
人事实习生,125.0,3个月,"['\xa0', '结合', '公司', '战略', '发展', '需求', '制定', '人力资源', '发展', '规划', '合理', '调配', '公司', '人力资源']",大专,2,2023-04-08 07:10:00,润普网络,101~300人,广东省,互联网|游戏|软件,2023-04-08,2023
人力资源实习生,150.0,3个月,"['\xa0', '协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,3,2023-04-10 16:35:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-04-10,2023
出口清关专员,175.0,3个月,"['工作', '职责']",本科,5,2023-04-10 16:42:00,虹科电子,51~100人,广东省,IT|通信|电子,2023-04-10,2023
